Name,IATA,ICAO,Callsign,Country,Active
Westgates Airlines,,WSA,WESTATES,United States,N
Westward Airways,CN,WWD,WESTWARD,United States,N
Wiggins Airways,,WIG,WIGGINS AIRWAYS,United States,N
Wilbur's Flight Operations,,WFO,WILBURS,United States,N
Williams Air,,WLS,WILLIAMS AIR,United States,N
Winair,,WNA,WINAIR,United States,N
Wind Spirit Air,,WSI,WIND SPIRIT,United States,N
Wings Airways,,WAW,WING SHUTTLE,United States,N
Wings Express,,WEX,WINGS EXPRESS,United States,N
Wings of Alaska,K5,WAK,WINGS ALASKA,United States,N
Wisconsin Air National Guard,,WAG,,United States,N
Wisman Aviation,,WSM,WISMAN,United States,N
World Airways,WO,WOA,WORLD,United States,Y
Worldspan,1P,,,United States,N
Worldwide Jet Charter,,WWI,WORLDWIDE,United States,N
Wright Air Lines,,WRT,WRIGHT-AIR,United States,N
Wright Air Service,8V,WRF,WRIGHT FLYER,United States,N
Wyoming Airlines,,WYG,WYOMING,United States,N
Xerox Corporation,,XER,XEROX,United States,N
Xtra Airways,XP,CXP,RUBY MOUNTAIN,United States,N
Young Flying Service,,YFS,YOUNG AIR,United States,N
Zantop International Airlines,,ZAN,ZANTOP,United States,N
Zephyr Express,,RZR,RECOVERY,United States,N
Yellow Air Taxi,Y0,\N,,United States,N
Carnival Air Lines,KW,\N,Carnival Air,United States,Y
Island Air (WP),WP,MKU,,United States,Y
Epic Holiday,FA,4AA,Epic,United States,Y
JetWind,,JWW,Jetwind,United States,N
Blue Sky America,BU,BKY,,United States,N
Texas Spirit,XS,TXP,,United States,N
Illinois Airways,IL,ILW,,United States,N
Texas Wings,TQ,TXW,TXW,United States,Y
California Western,KT,CWS,,United States,N
Atifly,A1,A1F,atifly,United States,Y
Reno Sky,RY,\N,,United States,N
Air Choice One,3E,\N,,United States,Y
Locair,ZQ,LOC,LOCAIR,United States,Y
SeaPort Airlines,K5,SQH,SASQUATCH,United States,Y
Salmon Air,S6,\N,,United States,Y
Fly Illi,IL,ILY,,United States,N
Alaska Seaplane Service,J5,\N,,United States,Y
Gryphon Airlines,6P,\N,,United States,Y
U.S. Air,-+,--+,,United States,Y
PanAm World Airways,WQ,PQW,,United States,Y
CBM America,,XBM,AIRMAX,United States,Y
Black Stallion Airways,BZ,BSA,Stallion,United States,Y
Yellowstone Club Private Shuttle,Y1,\N,YCS,United States,Y
Trans Pas Air,T6,TP6,,United States,Y
Papillon Grand Canyon Helicopters,HI,\N,,United States,Y
US Africa Airways,E8,\N,,United States,N
Usa Sky Cargo,E1,ES2,USKY,United States,Y
Red Jet America,RR,\N,,United States,N
Era Alaska,7H,ERR,ERAH,United States,Y
Hankook Air US,H1,HA1,,United States,Y
Pacific Express,VB,\N,,United States,N
Orbit Airlines,,OBT,Orbit,United States,Y
SENIC AIRLINES,YR,\N,,United States,Y
XOJET,,XOJ,,United States,Y
Orbit International Airlines,,OAI,OA,United States,Y
Orbit Regional Airlines,,OAR,OA,United States,Y
Orbit Atlantic Airways,,OAN,,United States,Y
Aws express,B0,666,aws,United States,Y
Southjet,76,SJS,,United States,Y
Southjet connect,77,ZCS,,United States,Y
Southjet cargo,78,XAN,,United States,Y
Patriot Airways,P4,\N,,United States,Y
Vision Airlines (V2),V2,RBY,RUBY,United States,Y
Chicago Express (C8),C8,\N,,United States,N
Yellowtail,YE,YEL,,United States,Y
Royal Airways,KG,RAW,RAW,United States,Y
Executive AirShare,,XSR,,United States,Y
T.J. Air,TJ,TJA,T.J. Air,United States,Y
ValueJet,J7,VJA,CRITTER,United States,N
HQ- Business Express,HQ,\N,BizEx,United States,N
WestAir,OE,\N,,United States,N
WestAir Airlines,OE,\N,,United States,N
WestAir Airlines ,OE,\N,,United States,N
North Pacific Airlines,NO,\N,,United States,N
Maryland Air,M1,M1F,Maryland Flight,United States,Y
Apache Air,ZM,IWA,APACHE,United States,Y
Eastern Atlantic Charters,,EDI,,United States,N
ViznAir,,VZA,Brian,United States,N
National Air Cargo,N8,NCR,,United States,Y
Eastern Atlantic Virtual Airlines,13,EAV,EAVA,United States,Y
Comfort Express Virtual Charters Albany,,EVC,Comfort Express,United States,Y
Comfort Express Virtual Charters,,CEO,,United States,Y
Key Air,,KWY,KeyAir,United States,N
XAIR USA,XA,XAU,XAIR,United States,Y
Global Freightways,F5,GF5,Freight,United States,N
Vintage Props and Jets,,VPP,VINTAGE,United States,N
Envoy Air,,ENY,Envoy,United States,Y
Rainbow Air (RAI),RN,RAB,Rainbow,United States,Y
Rainbow Air Polynesia,RX,RPO,Rainbow Air,United States,Y
Rainbow Air US,RM,RNY,Rainbow Air,United States,Y
Spike Airlines,S0,SAL,Spike Air,United States,Y
All America,A2,AL2,,United States,Y
Dense Airways,KP,DWA,DENSE,United States,Y
Dense Connection,KZ,DC2,DC2,United States,Y
Jet Suite,,RSP,Red Stripe,United States,Y
San Dima Air,,SDI,FAREFLIGHT,United States,Y
OneJet,J1,\N,,United States,Y
Islands Express,X9,\N,,United States,N
Atlantic Air Services,X7,\N,,United States,N
Boutique Air (Priv),4B,BTQ,,United States,Y
Liberty Airways,LE,LTY,,United States,Y
Silver Airways (3M),3M,\N,Silver Wings,United States,Y
Alghanim,,KYA,,United States,Y
Southern Airways Express,,LTD,LIGHTSPEED,United States,Y
Atlantic Air Cargo,K3,\N,,United States,N
World Scale Airlines,W3,WSS,,United States,Y
All America US,AG,SSA,,United States,Y
Choice Airways,,CSX,,United States,Y
Dynamic Airways,,DYA,,United States,Y
ViaAir,,SRY,Stingray,United States,Y
Lynx Aviation (L3/SSX),,SSX,Shasta,United States,N
