Name,City,Country,IATA
Jackson County Reynolds Field,Jackson,United States,JXN
Joseph A. Hardy Connellsville Airport,Connellsville,United States,\N
Bedford County Airport,Bedford,United States,\N
Wings Field,Philadelphia,United States,BBX
Okeechobee County Airport,Okeechobee,United States,OBE
Sebring Regional Airport,Sebring,United States,SEF
Avon Park Executive Airport,Avon Park,United States,AVO
Winter Haven Regional Airport - Gilbert Field,Winter Haven,United States,GIF
Zephyrhills Municipal Airport,Zephyrhills,United States,ZPH
Ocala International Airport - Jim Taylor Field,Ocala,United States,OCF
Jesup Wayne County Airport,Jesup,United States,\N
Madison Municipal Airport,Madison,United States,\N
Newnan Coweta County Airport,Newnan,United States,\N
Thomson-McDuffie County Airport,Thomson,United States,\N
Aiken Regional Airport,Aiken,United States,AIK
Woodward Field,Camden,United States,CDN
Lumberton Regional Airport,Lumberton,United States,LBT
Moore County Airport,Pinehurst-Southern Pines,United States,SOP
Richmond County Airport,Rockingham,United States,\N
Baraboo Wisconsin Dells Airport,Baraboo,United States,\N
Statesville Regional Airport,Statesville,United States,SVH
Burlington Municipal Airport,Burlington,United States,\N
William T. Piper Memorial Airport,Lock Haven,United States,LHV
Zelienople Municipal Airport,Zelienople,United States,\N
Lorain County Regional Airport,Lorain-Elyria,United States,\N
Burke Lakefront Airport,Cleveland,United States,BKL
Chautauqua County-Dunkirk Airport,Dunkirk,United States,DKK
South Jersey Regional Airport,Mount Holly,United States,LLY
Linden Airport,Linden,United States,LDJ
Tri State Steuben County Airport,Angola,United States,ANQ
Warsaw Municipal Airport,Warsaw,United States,\N
Van Wert County Airport,Van Wert,United States,\N
Brooks Field,Marshall,United States,\N
Genesee County Airport,Batavia,United States,\N
Clearwater Air Park,Clearwater,United States,CLW
Chicago Meigs Airport,Chicago,United States,CGX
Pickens County Airport,Jasper,United States,\N
Grand Strand Airport,North Myrtle Beach,United States,CRE
Lansing Municipal Airport,Lansing,United States,\N
Ramona Airport,Ramona,United States,\N
Branch County Memorial Airport,Coldwater,United States,\N
Wilkes Barre Wyoming Valley Airport,Wilkes-Barre,United States,WBW
Willoughby Lost Nation Municipal Airport,Willoughby,United States,LNN
Capital City Airport,Frankfort,United States,FFT
Auburn Lewiston Municipal Airport,Lewiston,United States,LEW
Bloyer Field,Tomah,United States,\N
Marco Island Executive Airport,Marco Island Airport,United States,MRK
Drummond Island Airport,Drummond Island,United States,DRE
Gladwin Zettel Memorial Airport,Gladwin,United States,GDW
South Haven Area Regional Airport,South Haven,United States,\N
Marshfield Municipal Airport,Marshfield,United States,MFI
Alexander Field South Wood County Airport,Wisconsin Rapids,United States,ISW
Clinton Municipal Airport,Clinton,United States,CWI
Beverly Municipal Airport,Beverly,United States,BVY
Poplar Bluff Municipal Airport,Poplar Bluff,United States,POF
Somerset Airport,Somerville,United States,\N
Eastport Municipal Airport,Eastport,United States,\N
Keokuk Municipal Airport,Keokuk,United States,EOK
St Paul Downtown Holman Field,St. Paul,United States,STP
Oconomowoc Airport,Oconomowoc,United States,\N
Butler Co Regional Airport - Hogan Field,Hamilton,United States,HAO
Fond du Lac County Airport,Fond du Lac,United States,FLD
Waupaca Municipal Airport,Waupaca,United States,\N
Stevens Point Municipal Airport,Stevens Point,United States,STE
Luce County Airport,Newberry,United States,\N
Galion Municipal Airport,Galion,United States,GQQ
Clarksville–Montgomery County Regional Airport,Clarksville,United States,CKV
Lompoc Airport,Lompoc,United States,LPC
Chester County G O Carlson Airport,Coatesville,United States,CTH
Lake Placid Airport,Lake Placid,United States,LKP
Lima Allen County Airport,Lima,United States,AOH
Malcolm McKinnon Airport,Brunswick,United States,SSI
Beaver County Airport,Beaver Falls,United States,BFP
Georgetown County Airport,Georgetown,United States,GGE
Hardwick Field,Cleveland,United States,HDI
Renton Municipal Airport,Renton,United States,RNT
Brackett Field,La Verne,United States,POC
Cross City Airport,Cross City,United States,CTY
Oconee County Regional Airport,Clemson,United States,CEU
Beech Factory Airport,Wichita,United States,BEC
Tom B. David Field,Calhoun,United States,\N
Habersham County Airport,Cornelia,United States,\N
Georgetown Municipal Airport,Georgetown,United States,\N
Old Rhinebeck Airport,Rhinebeck,United States,\N
Sidney Municipal-Lloyd W Carr Field,Sidney,United States,SNY
Kalaeloa Airport,Kapolei,United States,JRF
Iosco County Airport,East Tawas,United States,ECA
Madison County Executive Airport-Tom Sharp Jr Field,Huntsville,United States,\N
Leesburg Executive Airport,Leesburg,United States,\N
Anoka County-Blaine (Janes Field) Airport,Anoka,United States,\N
Williamson Sodus Airport,Williamson,United States,\N
Boulder Municipal Airport,Boulder,United States,WBU
Palo Alto Airport of Santa Clara County,Palo Alto,United States,PAO
Falcon Field,Mesa,United States,MSC
Coolidge Municipal Airport,Cooldige,United States,\N
Cottonwood Airport,Cottonwood,United States,\N
Ak-Chin Regional Airport,Phoenix,United States,\N
Wickenburg Municipal Airport,Wickenburg,United States,\N
Oakland County International Airport,Pontiac,United States,PTK
Dillant Hopkins Airport,Keene,United States,EEN
Glasgow Industrial Airport,Glasgow,United States,\N
Iowa City Municipal Airport,Iowa City,United States,IOW
Windom Municipal Airport,Windom,United States,\N
Longview Ranch Airport,Longview,United States,\N
Lee Airport,Annapolis,United States,ANP
Pecos Municipal Airport,Pecos,United States,PEQ
Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg,United States,HBG
Chan Gurney Municipal Airport,Yankton,United States,YKN
Hayward Executive Airport,Hayward,United States,HWD
Ann Arbor Municipal Airport,Ann Arbor,United States,ARB
Henry County Airport,Hampton,United States,\N
Alameda Naval Air Station,Alameda,United States,NGZ
Comarapa Airport,Salt Lake City,United States,\N
Immokalee Regional Airport,Immokalee ,United States,IMM
Rancho San Simeon Airport,Cambria,United States,\N
Dinwiddie County Airport,Petersburg,United States,PTB
Sheboygan County Memorial Airport,Sheboygan,United States,SBM
Pinal Airpark,Marana,United States,MZJ
Glendale Municipal Airport,Glendale,United States,\N
Safford Regional Airport,Safford,United States,SAD
Sikeston Memorial Municipal Airport,Sikeston,United States,SIK
Floyd Bennett Memorial Airport,Queensbury,United States,GFL
Saratoga County Airport,Ballston Spa,United States,\N
Crystal River Airport,Crystal River,United States,\N
Martin State Airport,Baltimore,United States,MTN
Lincoln Regional Karl Harder Field,Lincoln,United States,\N
Fostoria Metropolitan Airport,Fostoria,United States,\N
Eastern Slopes Regional Airport,Fryeburg,United States,FRY
Coral Creek Airport,Placida,United States,\N
Lakefront Airport,New Orleans,United States,NEW
Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,United States,COE
Beaumont Municipal Airport,Beaumont,United States,BMT
Vermilion Regional Airport,Danville,United States,DNV
Space Coast Regional Airport,Titusville,United States,TIX
Andrau Airpark,Houston,United States,AAP
Flying Cloud Airport,Eden Prairie,United States,FCM
Johnson County Executive Airport,Olathe,United States,OJC
Brandywine Airport,West Goshen Township,United States,\N
Manassas Regional Airport/Harry P. Davis Field,Manassas,United States,MNZ
Texas Gulf Coast Regional Airport,Angleton,United States,LJN
Shelby County Airport,Shelbyville,United States,\N
Enumclaw Airport,Enumclaw,United States,\N
Port Alsworth Airport,Port alsworth,United States,PTA
Fairfield County Airport,Winnsboro,United States,\N
Skyhaven Airport,Rochester,United States,\N
Newton City-County Airport,Newton,United States,EWK
Taszár Air Base,Columbus,United States,TZR
Fort Bridger Airport,Fort Bridger,United States,FBR
Prosser Airport,Prosser,United States,\N
Chehalis Centralia Airport,Chehalis,United States,CLS
Desert Aire Regional Airport,Mattawa,United States,\N
Evanston-Uinta County Airport-Burns Field,Evanston,United States,EVW
Sabetha Municipal Airport,Sabetha,United States,\N
Mt Pleasant Regional-Faison field,Mount Pleasant,United States,\N
Jimmy Carter Regional Airport,Americus,United States,\N
Weedon Field,Eufala,United States,EUF
Saluda County Airport,Saluda,United States,\N
Dare County Regional Airport,Manteo,United States,MEO
Auburn University Regional Airport,Auburn,United States,AUO
Tri Cities Airport,Endicott,United States,\N
Bessemer Airport,Bessemer,United States,\N
Colorado Springs East Airport,Ellicott,United States,\N
Crystal Airport,Crystal,United States,\N
Clarke County Airport,Quitman,United States,\N
W H 'Bud' Barron Airport,Dublin,United States,DBN
Corvallis Municipal Airport,Corvallis,United States,CVO
El Almendro Airport,Scranton,United States,\N
San Agustin Airport,Morristown,United States,\N
Ogden Hinckley Airport,Ogden,United States,OGD
Robert S Kerr Airport,Poteau,United States,\N
Colorado Plains Regional Airport,Akron,United States,AKO
Sanderson Field,Shelton,United States,SHN
Napakiak Airport,Napakiak,United States,WNA
Napaskiak Airport,Napaskiak,United States,PKA
Tok Airport,Tok,United States,\N
Causey Airport,Liberty,United States,\N
Doylestown Airport,Doylestown,United States,DYL
Warren Field,Washington,United States,OCW
Hyde County Airport,Engelhard,United States,\N
Stillwater Regional Airport,Stillwater,United States,SWO
Okmulgee Regional Airport,Okmulgee,United States,OKM
Cushing Municipal Airport,Cushing,United States,CUH
Clinton Sherman Airport,Clinton,United States,CSM
Strother Field,Winfield,United States,WLD
Wiley Post Airport,Oklahoma City,United States,PWA
Shreveport Downtown Airport,Shreveport,United States,DTN
Stephenville Clark Regional Airport,Stephenville,United States,SEP
Perry Municipal Airport,Perry,United States,\N
Hamilton Municipal Airport,Hamilton,United States,\N
Ada Regional Airport,Ada,United States,ADT
Mesquite Metro Airport,Misquite,United States,\N
Denton Municipal Airport,Denton,United States,\N
Austin Executive Airport,Austin,United States,\N
Lago Vista Tx Rusty Allen Airport,Lago Vista,United States,\N
Brenham Municipal Airport,Brenham,United States,\N
Lakeway Airpark,Lakeway,United States,\N
Iraan Municipal Airport,Iraan,United States,IRB
Kestrel Airpark,San Antonio,United States,\N
Wilkes County Airport,North Wilkesboro,United States,IKB
Charleston Executive Airport,Charleston,United States,\N
Danville Regional Airport,Danville,United States,DAN
Brookneal/Campbell County Airport,Brookneal,United States,\N
Cheraw Municipal Airport/Lynch Bellinger Field,Cheraw,United States,HCW
Wauchula Municipal Airport,Wuchula,United States,\N
Conway Horry County Airport,Conway,United States,\N
Asheboro Regional Airport,Asheboro,United States,\N
Henderson Field,Wallace,United States,\N
Emporia Greensville Regional Airport,Emporia,United States,\N
San Gabriel Valley Airport,El Monte,United States,EMT
Kee Field,Pineville,United States,\N
Stinson Municipal Airport,Stinson,United States,SSF
Sallisaw Municipal Airport,Sallisaw,United States,\N
Jasper County Airport-Bell Field,Jasper,United States,JAS
El Dorado Springs Memorial Airport,El dorado springs,United States,\N
Marfa Municipal Airport,Marfa,United States,MRF
Alpine Casparis Municipal Airport,Alpine,United States,ALE
Cable Airport,Upland,United States,CCB
Mount Sterling Montgomery County Airport,Mount Sterling,United States,\N
Elkhart Municipal Airport,Elkhart,United States,EKI
Nappanee Municipal Airport,Nappanee ,United States,\N
Jim Hamilton L.B. Owens Airport,Columbia,United States,CUB
Grove Municipal Airport,Grove,United States,\N
Mc Pherson Airport,Mc Pherson,United States,\N
Donaldson Field Airport,Greenville,United States,GDC
Perry Houston County Airport,Perry,United States,\N
Hartsville Regional Airport,Hartsville,United States,HVS
Horace Williams Airport,Chapel Hill,United States,\N
Brunswick County Airport,Oak Island,United States,\N
Chesterfield County Airport,Richmond,United States,\N
Henderson Oxford Airport,Oxford,United States,\N
Leesburg International Airport,Leesburg,United States,LEE
Chino Airport,Chino,United States,CNO
Madison County Airport,London,United States,\N
Paso Robles Municipal Airport,Paso Robles,United States,PRB
Half Moon Bay Airport,Half Moon Bay,United States,HAF
General WM J Fox Airfield,Lancaster,United States,WJF
Person County Airport,Roxboro,United States,\N
Talladega Municipal Airport,Talladega,United States,ASN
Greenville Downtown Airport,Greenville,United States,GMU
Mankato Regional Airport,Mankato,United States,\N
Troy Municipal Airport at N Kenneth Campbell Field,Troy,United States,TOI
Merkel Field Sylacauga Municipal Airport,Sylacauga,United States,\N
Enterprise Municipal Airport,Enterprise,United States,ETS
Ryan Field,Tucson,United States,\N
Thomas C Russell Field,Alexander City,United States,ALX
Meriden Markham Municipal Airport,Meriden,United States,\N
Ridgely Airpark,Ridgely,United States,\N
New Castle Henry Co. Municipal Airport,New Castle,United States,\N
Scott City Municipal Airport,Scott City,United States,\N
Brewster Field,Holdredge,United States,HDE
Pratt Regional Airport,Pratt,United States,PTT
Wahoo Municipal Airport,Wahoo,United States,\N
Jim Kelly Field,Lexington,United States,LXN
Sublette Municipal Airport,Sublette,United States,\N
Council Bluffs Municipal Airport,Council Bluffs,United States,CBF
Kokomo Municipal Airport,Kokomo,United States,OKK
Neodesha Municipal Airport,Neodesha,United States,\N
King Ranch Airport,Sutton,United States,\N
Elkhart Morton County Airport,Elkhart,United States,\N
Front Range Airport,Denver,United States,\N
Galesburg Municipal Airport,Galesburg,United States,GBG
Guymon Municipal Airport,Guymon,United States,GUY
Meade Municipal Airport,Meade,United States,\N
Turkey Mountain Estates Airport,Shell Knob,United States,\N
Ulysses Airport,Ulysses,United States,\N
Flagler Aerial Spraying Inc Airport,Flagler,United States,\N
Independence Municipal Airport,Independence,United States,IDP
Augusta Municipal Airport,Augusta,United States,\N
Larned Pawnee County Airport,Larned,United States,\N
Lampasas Airport,Lampasas,United States,\N
Bay City Municipal Airport,Bay City,United States,BBC
Cox Field,Paris,United States,PRX
Coffeyville Municipal Airport,Coffeyville,United States,CFV
The Farm Airport,Summit,United States,\N
Greeley–Weld County Airport,Greeley,United States,GXY
General Dewitt Spain Airport,Memphis,United States,\N
Oryol Yuzhny Airport,Oakley,United States,OEL
Fremont Municipal Airport,Fremont,United States,FET
La Grande/Union County Airport,La Grande,United States,LGD
Pocono Mountains Municipal Airport,Mount Pocono,United States,MPO
Quakertown Airport,Quakertown,United States,UKT
Banning Municipal Airport,Banning,United States,BNG
Karl Stefan Memorial Airport,Norfolk  Nebraska,United States,OFK
Arlington Municipal Airport,Arlington,United States,\N
Peter O Knight Airport,Tampa,United States,TPF
Montauk Airport,Montauk,United States,MTP
Porter County Municipal Airport,Valparaiso IN,United States,VPZ
Mason County Airport,Ludington,United States,LDM
Reid-Hillview Airport of Santa Clara County,San Jose,United States,RHV
Camarillo Airport,Camarillo - CA,United States,\N
Watsonville Municipal Airport,Watsonville,United States,WVI
Hollister Municipal Airport,Hollister,United States,HLI
Williamsburg Jamestown Airport,Williamsburg,United States,\N
Union County Airport,Marysville,United States,\N
St Louis Regional Airport,Alton/St Louis,United States,ALN
Chandler Field,Alexandria,United States,AXN
Columbus Municipal Airport,Columbus,United States,CLU
Curtis Field,Brady,United States,BBD
Eastern Sierra Regional Airport,Bishop,United States,BIH
Baker City Municipal Airport,Baker City,United States,BKE
Miley Memorial Field,Big Piney,United States,BPI
Ozark Regional Airport,Mountain Home,United States,WMH
W K Kellogg Airport,Battle Creek,United States,BTL
Burley Municipal Airport,Burley,United States,BYI
Northeast Iowa Regional Airport,Charles City,United States,CCY
Chanute Martin Johnson Airport,Chanute,United States,CNU
Jacksonville Executive at Craig Airport,Jacksonville,United States,CRG
Crossville Memorial Whitson Field,Crossville,United States,CSV
Davison Army Air Field,Fort Belvoir,United States,DAA
Barstow Daggett Airport,Daggett,United States,DAG
Deming Municipal Airport,Deming,United States,DMN
Desert Rock Airport,Mercury,United States,DRA
Needles Airport,Needles,United States,EED
Duke Field,Crestview,United States,EGI
Murray Field,Eureka,United States,EKA
San Marcos Regional Airport,San Marcos,United States,\N
Sawyer County Airport,Hayward,United States,HYR
Kimble County Airport,Junction,United States,JCT
Monticello Municipal Ellis Field,Monticello,United States,\N
Derby Field,Lovelock,United States,LOL
Mobridge Municipal Airport,Mobridge,United States,MBG
Mc Comb/Pike County Airport/John E Lewis Field,Mc Comb,United States,MCB
Southern Illinois Airport,Carbondale/Murphysboro,United States,MDH
Mc Entire Joint National Guard Base,Eastover,United States,MMT
Brunswick Executive Airport,Brunswick,United States,NHZ
Naval Station Mayport (Admiral David L. Mcdonald Field),Mayport,United States,NRB
Orangeburg Municipal Airport,Orangeburg,United States,OGB
Columbus Municipal Airport,Columbus,United States,\N
Ottumwa Regional Airport,Ottumwa,United States,OTM
Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,United States,OZR
Ralph Wenz Field,Pinedale,United States,PWY
Dutchess County Airport,Poughkeepsie,United States,POU
New Richmond Regional Airport,New Richmond,United States,\N
Russell Municipal Airport,Russell,United States,RSL
Redwood Falls Municipal Airport,Redwood Falls,United States,RWF
Salinas Municipal Airport,Salinas,United States,SNS
Sonora Municipal Airport,Sonora,United States,\N
Saline County Regional Airport,Benton,United States,\N
Tonopah Airport,Tonopah,United States,TPH
Aurora State Airport,Aurora,United States,\N
Ukiah Municipal Airport,Ukiah,United States,UKI
University Oxford Airport,Oxford,United States,UOX
Huntsville Regional Airport,Huntsville,United States,HTV
Miller Field,Valentine,United States,VTN
Winnemucca Municipal Airport,Winnemucca,United States,WMC
West Woodward Airport,Woodward,United States,WWR
Cape Canaveral AFS Skid Strip,Cocoa Beach,United States,\N
Homey (Area 51) Airport,Groom Lake,United States,\N
Zanesville Municipal Airport,Zanesville,United States,ZZV
Nenana Municipal Airport,Nenana,United States,ENN
Wasilla Airport,Wasilla,United States,WWA
Tracy Municipal Airport,Tracy,United States,\N
Bolton Field,Columbus,United States,\N
Skagit Regional Airport,Skagit,United States,MVW
Marion County Brown Field,Jasper,United States,APT
Evergreen Regional Airport/Middleton Field,Evergreen,United States,\N
Pryor Field Regional Airport,Decatur,United States,DCU
Glasgow Municipal Airport,Glasgow,United States,GLW
Danielson Airport,Danielson,United States,\N
Clearfield Lawrence Airport,Clearfield,United States,\N
Jasper County Airport,Rensselaer,United States,RNZ
Statesboro Bulloch County Airport,Statesboro,United States,TBR
New Smyrna Beach Municipal Airport,New Smyrna Beach,United States,\N
Las Vegas Helicopters Heliport,Las vegas,United States,\N
Iowa County Airport,MINERAL POINT,United States,\N
West Bend Municipal Airport,WEST BEND,United States,ETB
Gaylord Regional Airport,GAYLORD,United States,GLR
Anderson Municipal Darlington Field,ANDERSON,United States,AID
Prairie Du Chien Municipal Airport,Prairie du Chien,United States,PCD
Air Orlando Heliport,Orlando,United States,\N
Stanly County Airport,Albemarle,United States,\N
Davidson County Airport,Lexington,United States,\N
Windwood Fly-In Resort Airport,Davis,United States,\N
Lathan Strip,Mocksville,United States,\N
Double Eagle II Airport,Albuquerque,United States,\N
Socorro Municipal Airport,Socorro,United States,\N
Bentonville Municipal-Louise M Thaden Field,Bentonville,United States,\N
Blue Ridge Airport,Martinsville,United States,\N
Mount Airy Surry County Airport,Mount Airy,United States,\N
Taos Regional Airport,Taos,United States,TSM
Raton Municipal-Crews Field,Raton,United States,RTN
Rusk County Airport,Ladysmith,United States,\N
Perry Lefors Field,Pampa,United States,PPA
William R. Pogue Municipal Airport,Sand Springs,United States,\N
Marion County Regional Airport,Flippin,United States,FLP
Hutchinson County Airport,Borger,United States,BGD
Santa Ynez Airport,Santa Ynez,United States,SQA
Spartanburg Downtown Memorial Airport,Spartangurg,United States,SPA
Tri-City Airport,Parsons,United States,PPF
Waycross Ware County Airport,Waycross,United States,AYS
Mid-State Regional Airport,Philipsburg,United States,\N
Greater Portsmouth Regional Airport,Portsmouth,United States,PMH
Camilla Mitchell County Airport,Camilla,United States,\N
Clarks Point Airport,Clarks Point,United States,CLP
Sandpoint Airport,Sandpoint,United States,\N
Oakland Troy Airport,Troy,United States,\N
Red Dog Airport,Red Dog,United States,RDB
Frankfort Dow Memorial Field,Frankfort,United States,\N
Cheboygan County Airport,Cheboygan,United States,\N
John C Tune Airport,Nashville,United States,\N
Denali Airport,McKinley Park,United States,\N
Potomac Airpark,Berkeley Springs,United States,\N
Stennis International Airport,Bay St. Louis,United States,\N
Seldovia Airport,Seldovia,United States,SOV
Julian Carroll Airport,Jackson,United States,\N
Beaufort MCAS - Merritt Field,Beaufort,United States,\N
Camp Pendleton MCAS (Munn Field) Airport,Oceanside,United States,\N
Vidalia Regional Airport,Vidalia,United States,VDI
Granbury Regional Airport,Granbury,United States,\N
Oswego County Airport,Fulton,United States,\N
Mitchell Municipal Airport,Mitchell,United States,MHE
